lat,lon,addr:street,addr:housenumber
50.9532699202,3.01468203584,Warandestraat,1
50.9553519258,3.01729477642,Warandestraat,10
50.9539177146,3.01736412941,Warandestraat,11
50.9556787367,3.01644992855,Warandestraat,12
50.9548446477,3.01795022277,Warandestraat,13
50.9567987907,3.01701224098,Warandestraat,14
50.9589161289,3.023987065,Warandestraat,16
50.9537439508,3.01443562758,Warandestraat,2
50.9535559907,3.01475107076,Warandestraat,3
50.9533882657,3.01508272369,Warandestraat,3A
50.9545679234,3.01594089761,Warandestraat,4
50.9547974596,3.01670735073,Warandestraat,4A
50.9534742435,3.01524905866,Warandestraat,5
50.9549871551,3.01742627675,Warandestraat,6
50.9535186382,3.0154582994,Warandestraat,7
50.9551345124,3.01594818984,Warandestraat,8
50.953582943,3.01567892294,Warandestraat,9
