lat,lon,addr:street,addr:housenumber
50.941779814,3.05605405011,Westrozebekestraat,1
50.9421986042,3.05493563294,Westrozebekestraat,11
50.9419021557,3.05406463669,Westrozebekestraat,12
50.942234108,3.05479802643,Westrozebekestraat,13
50.9419987329,3.05411444149,Westrozebekestraat,14
50.942241788,3.05470488636,Westrozebekestraat,15
50.9420998778,3.05372852474,Westrozebekestraat,16
50.9424044519,3.05462647539,Westrozebekestraat,17
50.9420194452,3.05309667103,Westrozebekestraat,18
50.9423766614,3.05438433853,Westrozebekestraat,19
50.9412487789,3.05525294487,Westrozebekestraat,2
50.942204601,3.05304380833,Westrozebekestraat,20
50.9421641194,3.05282479795,Westrozebekestraat,22
50.9424940209,3.05420217357,Westrozebekestraat,23
50.942230852,3.0526500264,Westrozebekestraat,24
50.9422248398,3.0522414955,Westrozebekestraat,26
50.9426735916,3.05348105914,Westrozebekestraat,27
50.9422637229,3.05190015357,Westrozebekestraat,28
50.9426452639,3.05319112172,Westrozebekestraat,29
50.9418345677,3.05574813135,Westrozebekestraat,3
50.9423026972,3.0515509817,Westrozebekestraat,30
50.942673248,3.05291198638,Westrozebekestraat,31
50.9423339338,3.05127360597,Westrozebekestraat,32
50.9424038924,3.05113019045,Westrozebekestraat,32B
50.9427106226,3.05262846046,Westrozebekestraat,33
50.9423639215,3.05083674066,Westrozebekestraat,34
50.9426875441,3.05241408294,Westrozebekestraat,35
50.9424061664,3.05053898978,Westrozebekestraat,36
50.9427096272,3.05229862235,Westrozebekestraat,37
50.9422811806,3.0499764108,Westrozebekestraat,38
50.9427303444,3.05218163458,Westrozebekestraat,39
50.9414512567,3.05528584201,Westrozebekestraat,4
50.9427467171,3.05206206479,Westrozebekestraat,41
50.9426095937,3.04837278446,Westrozebekestraat,42
50.9427668017,3.05194480996,Westrozebekestraat,43
50.942786631,3.05182884295,Westrozebekestraat,45
50.9426602576,3.04802470088,Westrozebekestraat,46
50.9428068053,3.0517115854,Westrozebekestraat,47
50.9426752471,3.04767036311,Westrozebekestraat,48
50.9428269715,3.05159361644,Westrozebekestraat,49
50.9419144907,3.05543382313,Westrozebekestraat,5
50.9426529709,3.04732817429,Westrozebekestraat,50
50.9428432664,3.05147518681,Westrozebekestraat,51
50.9427317317,3.047056428,Westrozebekestraat,52
50.9428651264,3.05134792016,Westrozebekestraat,53
50.9428124878,3.04667433679,Westrozebekestraat,54
50.9428853018,3.05123080447,Westrozebekestraat,55
50.9428699842,3.04622274231,Westrozebekestraat,56
50.9429057732,3.05112406878,Westrozebekestraat,57
50.9429167377,3.04579137252,Westrozebekestraat,58
50.9429261569,3.05100950856,Westrozebekestraat,59
50.941545215,3.05491621379,Westrozebekestraat,6
50.942970412,3.04529605299,Westrozebekestraat,60
50.9429462303,3.05089936847,Westrozebekestraat,61
50.941953891,3.04454247222,Westrozebekestraat,62
50.942969525,3.05078785706,Westrozebekestraat,63
50.9429765127,3.05065730744,Westrozebekestraat,65
50.9430829772,3.04437798236,Westrozebekestraat,66
50.9430185897,3.05050499529,Westrozebekestraat,67
50.9431332039,3.04392829513,Westrozebekestraat,68
50.9429671281,3.05031745691,Westrozebekestraat,69
50.9423109379,3.05521282907,Westrozebekestraat,7
50.9435061116,3.03979123129,Westrozebekestraat,70
50.9429833505,3.05006440586,Westrozebekestraat,71
50.9420725017,3.03385103656,Westrozebekestraat,72
50.9422697097,3.03337966085,Westrozebekestraat,74
50.9432284872,3.04802635566,Westrozebekestraat,75
50.9389600811,3.03329567301,Westrozebekestraat,76
50.9433313684,3.04770070497,Westrozebekestraat,77
50.9419284917,3.02935474806,Westrozebekestraat,78
50.9433730272,3.0471835217,Westrozebekestraat,79
50.9436698974,3.04554458015,Westrozebekestraat,81
50.9442813986,3.04368042158,Westrozebekestraat,83
50.9439013016,3.04003420639,Westrozebekestraat,85
50.9434022817,3.03625736835,Westrozebekestraat,87
50.9427716018,3.03056719326,Westrozebekestraat,89
50.9420199691,3.05496866764,Westrozebekestraat,9
50.9430286228,3.04481255811,Westrozebekestraat,A6
